id,name,neighbourhood,price
870272339502584807,Acorde com essa vista do Rio a bordo de um veleiro,Urca,286.0
872516098595998804,Belissima suíte com Jacuzzi.,Recreio dos Bandeirantes,146.0
872555581704667859,"400m Arcos da Lapa/Selaron, Catedral, Consulado",Centro,201.0
870273217724539248,Apartamento Copacabana - RJ,Copacabana,320.0
872578435440929146,Quarto amplo com varand na praia,Recreio dos Bandeirantes,103.0
870376542135320595,Chambre privée vue mer.,Ipanema,180.0
872604618557823172,Quarto aconchegante e muito bem localizado!,Copacabana,110.0
870378459680509582,Ap delicioso em Santa Teresa,Santa Teresa,170.0
872647373995574485,"Ap diferenciado  na rua do Rezende, com 47m2!",Centro,178.0
870392527851063577,Room LUXO Oceanfront,Barra da Tijuca,289.0
870527030822750265,link stay barra,Barra da Tijuca,360.0
872664928424101334,Casa 3 quartos a beira Mar,Recreio dos Bandeirantes,1200.0
870542400350808218,Cama hostel em Ipanema,Ipanema,139.0
870548087659058834,Quarto excelente Ipanema,Ipanema,307.0
872671589432161243,Quarto a beira da praia c 1,Recreio dos Bandeirantes,93.0
870564358067594707,"apart com ar, wifi e garagem!",Copacabana,500.0
873004652295236046,Rio Conforto: Apto completo próx RioCentro e Barra,Camorim,209.0
870671625850721961,Cobertura Praia do Pontal,Recreio dos Bandeirantes,300.0
873030732857719983,Microcasa aconchegante na glória,Santa Teresa,95.0
870799586489236173,"Triplex LUXO com piscina, BBQ e sauna p/ 8 pessoas",Copacabana,1324.0
873061787513437903,Excelente quarto em Curicica,Curicica,65.0
870824950005334070,Apartamento 2 Quartos Flamengo,Flamengo,275.0
873063181790453677,Ótimo quarto no Leblon,Leblon,170.0
873112059707114502,Quarto charmoso no Aterro do Flamengo,Flamengo,116.0
870831399694949630,Experimente acordar no mar,Urca,300.0
873127447749519732,Excelente apto na Lapa,Centro,149.0
870839853334449163,"Linda suíte de hotel, acomoda até 3 pessoas Harry",Barra da Tijuca,399.0
876096490871028426,Charmoso e aconchegante duplex,Barra da Tijuca,450.0
873148967008085411,Excelente apto e localização,Ipanema,776.0
873204146237652838,Adorável apartamento em Ipanema.,Ipanema,1400.0
876128776655777654,Flat /Apart acolhedor a beira-mar varandas dabarra,Barra da Tijuca,336.0
873216590175153591,Studio 200m from Copacabana Beach | FM144/1006,Copacabana,354.0
876139503101904237,Apto moderno - vista pro Cristo,Laranjeiras,246.0
873227339376219644,Apartamento em Copacabana!,Copacabana,479.0
873229604067281565,"Leblon, 200 m da praia, vaga de garagem",Leblon,564.0
876243738633880897,Líndissimo apartamento no coração do Rio,Catete,180.0
873245650113640583,Quarto aconchegante em Copacabana,Copacabana,105.0
876305527011116098,Quarto em Copacabana,Copacabana,200.0
873251876948935795,New Studio in Copacabana/Ipanema,Copacabana,247.0
876590791660087615,Apartamento perto do Engenhão.,Méier,120.0
873292711389109698,Apt em condomínio charmoso,Recreio dos Bandeirantes,450.0
873346212752546859,Barra da Tijuca 1 - próximo ao Rio Centro,Camorim,163.0
873352743247796286,Apto de alto padrão Barra RJ,Jacarepaguá,423.0
876620944626389533,Botafogo Super View,Botafogo,162.0
873393779792228107,Quadra da Praia Posto 6,Copacabana,206.0
873434607644551801,Sunset Loft - Beira mar para até 3 pessoas,Copacabana,179.0
876637107120168724,Excelente apartamento Flamengo,Flamengo,350.0
873665231935416282,"Flat aconchegante, completo, vista para Natureza",Camorim,300.0
876675826208906730,Ótimo quarto/sala Copacabana,Copacabana,329.0
873766900344438171,Copacabana Tonelero Near Subway Station,Copacabana,370.0
876682434911841863,Tc801 Charmoso Studio na Areia de Copacabana,Copacabana,251.0
873786042468740161,Espaçoso apt ao lado do forte de Copacabana,Copacabana,629.0
876731032349992072,"Studio Ipanema, 20m da praia, c/ vista lateral",Ipanema,400.0
873797147040480005,lindo apto 3qts temporada Méier.,Engenho de Dentro,202.0
876734252646727431,Suite com  cama de casal arejado,Copacabana,209.0
873815986750453985,3 minutos da Praia do Leme. 10 minutos do Rio Sul.,Copacabana,250.0
876762151474190402,Apartamento Comfort Centro RJ,Centro,174.0
873824311752325897,Copacabana/Ipanema,Copacabana,198.0
876827606992260296,Apto. ótimo acesso Vidigal,Vidigal,484.0
873923797834664639,Flat Maravilhoso na Barra,Barra da Tijuca,176.0
876829772102043833,Ap próximo a praia,Recreio dos Bandeirantes,279.0
873924071643889633,quarto privativo e compartilhado,Barra de Guaratiba,64.0
873956153927328216,rua do sol 68  Monte Alto arraial do cabo rj,Itanhangá,60.0
876835997647371301,Radiante Confort Copacabana/Ipanema,Copacabana,200.0
873974131652455237,Apartamento Dúplex de 2 quartos em Copacabana,Copacabana,300.0
876842024945120351,Ótima localização para curtir no momento de lazer,Copacabana,259.0
874022842122481150,Casa do Barão 1 quarto.,Ipanema,450.0
876856260107676206,Refúgio Secreto,Curicica,125.0
876864276042662414,Ótimo flat na Barra da Tijuca,Barra da Tijuca,199.0
874027321713086447,Quarto em amplo apartamento em Copacabana,Copacabana,210.0
874098665383617356,Acomodação no Coração de Ipanema,Ipanema,186.0
874107343904585118,Aconchego de Vila,Vila Isabel,144.0
874148551856712465,Mar Doce Lar,Copacabana,171.0
874162506607168329,Elegante apartamento em Ipanema,Ipanema,220.0
874163413828382098,LB209 Roomy apartment close to Leblon beach,Leblon,582.0
876897483974105871,Lindo Apartamento muito bem Localizado em Ipanema,Ipanema,735.0
874351621376833193,Um espaço charmoso e elegante,Laranjeiras,307.0
876962694815360910,Confortável  ótima localização.,Leme,514.0
874442647996165838,Impecável Flat Praia Copacabana,Copacabana,391.0
876989252953412214,Varanda Suspensa sobre as águas!,Guaratiba,1714.0
874463490534717281,Excelente Stúdio em Copacabana,Copacabana,263.0
874531518858536938,Apto 40 m vista Pão de Açucar,Botafogo,142.0
877022980567401134,Apartamento em Santa Teresa,Centro,84.0
874535518851814463,Excelente Quarto e Sala,Copacabana,269.0
877307607363838897,Flat ao lado rio centro,Vargem Pequena,244.0
877426961964763835,Copacabana Suite at the Beach,Copacabana,224.0
874595503862935621,"Cobertura Flamengo Perto: Praia, aeroporto, metrô",Flamengo,247.0
877471473548738762,Tus vacaciones perfectas.,Copacabana,230.0
874615611130897175,Rio Conforto: Ap ao lado do RioCentro e Barra,Camorim,161.0
877501433407639905,Meu Aconchego II,Rio Comprido,250.0
874662290553863013,Sossego do Centro-1 min do metrô/7min do Aero SDU,Centro,191.0
874738405899172475,RioCentro RioStay Parque Olímpico e Cidade do Rock,Camorim,212.0
877519416246655615,Vip Copa,Copacabana,277.0
875202554632859609,Boho chic Copacabana,Copacabana,178.0
877533742053239159,Solar Green Copa,Copacabana,216.0
875256021756068762,Apartamento moderno com serviços e vista mar,Copacabana,413.0
877548917747325404,Vista mar no Leblon,Leblon,300.0
877574330205004597,Suíte luxuosa 75m no Hotel Nacional com vista mar,São Conrado,2850.0
875268189003379077,The best view in Rio de Janeiro,Ipanema,500.0
877630919137395757,Studio com Wi-Fi/SmartTV-Praia de Botafogo,Botafogo,200.0
875325319918491596,Copacabana Estilo/Conforto 8 pe.,Copacabana,2000.0
877633198706735502,"Apartamento recém reformado, a 4 quadras da praia",Ipanema,283.0
875325354570633341,Apartamento charmoso e espaçoso,Santa Teresa,420.0
877740096095043898,Ap Leme/Copacabana,Leme,220.0
875345531071307759,5 min da praia | Reformado com linda vista,Barra da Tijuca,488.0
878165170749404786,Vista Mar e Lagoa,Ipanema,741.0
875489608095720456,Apartamento luxuoso na Lapa.,Santa Teresa,170.0
878171235276371742,Apart praia da Barra,Barra da Tijuca,600.0
875870361892134784,"Cozy Apartment in Flamengo, close to Copacabana",Flamengo,186.0
876057484861753085,Suíte aconchegante na deliciosa praia do Leme,Leme,267.0
878186100644842929,Quarto privativo,Jacarepaguá,148.0
881789110324652049,2 min da Praia - Reformado e Aconchegante,Copacabana,213.0
878187986537350022,Kitnet/Stúdio completo próximo a diversas praias,Recreio dos Bandeirantes,125.0
878222965915414627,"Ótimo Conjugado, porém simples e aconchegante",Catete,201.0
881791662469582731,AP maravilhoso e perto de tudo em Ipanema. Vem!,Ipanema,314.0
878234289696123306,Praia do meio - Beleza.,Camorim,850.0
881807799693748410,Wonderful,Recreio dos Bandeirantes,1329.0
878248751131278037,Suíte Casal Aconchegante Lagoa,Lagoa,261.0
881935609181735642,"Apartamento Praia de Botafogo,RJ",Botafogo,500.0
878256927140446075,Apartamento temporada-Copacabana,Lagoa,750.0
881956259899735081,Apartamento conceito Industrial,Tomás Coelho,150.0
878261076978585555,Duplex penthouse with private pool,Leme,1331.0
881980899305420311,Mansão Art Déco,Camorim,1800.0
878276709428328874,"Alugo kitnet vazio, fim semana.",Recreio dos Bandeirantes,100.0
878294987737379990,Decorado no coração deCopacabana,Copacabana,230.0
881982030409629017,Apto Completo e Charmoso.,Jacarepaguá,279.0
878309676536283682,Apartamento 231 BarraBella,Barra da Tijuca,493.0
881994800903552597,Charmante maison au coeur de Rio,Barra da Tijuca,920.0
881996031651603270,Penthouse with sea view in Vidigal - Vid001,Vidigal,7179.0
878343019598865622,Lindo Apto com VAGA no melhor da Ilha do Gov,Freguesia (Ilha),164.0
882059514214063165,Copacabana Experience - Bolivar,Copacabana,333.0
878363052537225956,Apartamento Comfort  Leblon,Leblon,234.0
878374990444095065,Apto acolhedor a beira mar,Barra da Tijuca,470.0
882093206100517526,Studio super novo e equipado,Botafogo,191.0
878385866964362463,"Gastronomia, Trilha e Praia",Barra de Guaratiba,253.0
882096679932197815,Casa Ilha do Governador,Bancários,90.0
882125066534725846,No Coração da Tijuca,Andaraí,209.0
878392842281329610,Aconchego na praia.,Copacabana,213.0
878417980135802094,Apartamento completo Via Premiere,Camorim,310.0
882130798687581791,Ap. Cobertura no Hotel Nacional,São Conrado,836.0
882180474826362060,"Ótima localização, pertinho da Praia de Copacabana",Copacabana,227.0
882444191384550295,Suhcasa Flamengo Confort 1Q 02,Flamengo,202.0
878476309872389128,Apartamento Em Frente ao RoCK In Rio,Jacarepaguá,132.0
882456689551594936,Flat melhor localização da Barra da Tijuca,Barra da Tijuca,172.0
878507614777624313,"Apto 2 quartos, cama casal e 3 camas de solteiro",Centro,457.0
882475648899046613,Flat Excelente na Barra da Tijuca,Barra da Tijuca,170.0
878753055164875380,aparta. nacional rio de janeiro,São Conrado,561.0
882497005377552591,Amplo Apartamento Perto do Pão de Açúcar na Urca,Urca,292.0
878857203601536770,Trendy Apartment in Copacabana,Copacabana,900.0
882505377697605846,3 Bedrooms OCEANFRONt,Barra da Tijuca,714.0
878858645334037441,Suíte próxima da praia com estacionamento,Leblon,500.0
